periodo,año,trimestre,tipo_cuenta,sector_activo_codigo,sector_activo_nombre,sector_pasivo_codigo,sector_pasivo_nombre,instrumento,valor,clasificacion_acreedor,flag_sf_acreedor
2005T1,2005,1,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,427.2913299999999,NBFI,True
2005T1,2005,1,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1096.30799,NBFI,True
2005T1,2005,1,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Prestamos,403.55987,Gobierno,False
2005T1,2005,1,Bce Final,S13,Gobierno general,S14_S15,Hogares,Prestamos,767.1288600052002,Gobierno,False
2005T1,2005,1,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Prestamos,11408.888980031003,Resto del mundo,False
2005T1,2005,1,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Titulos deuda,521.0417312798147,Empresas NF,False
2005T1,2005,1,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Titulos deuda,209.71599497804345,Bancario,True
2005T1,2005,1,Bce Final,S123,Fondos del mercado monetario,S11,Empresas no financieras,Titulos deuda,127.55598296899998,NBFI,True
2005T1,2005,1,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Titulos deuda,363.7197950436762,NBFI,True
2005T1,2005,1,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Titulos deuda,32.4519119077998,NBFI,True
2005T1,2005,1,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Titulos deuda,3294.1779323800156,NBFI,True
2005T1,2005,1,Bce Final,S129,Fondo de pensiones,S11,Empresas no financieras,Titulos deuda,1987.579780553489,NBFI,True
2005T1,2005,1,Bce Final,S13,Gobierno general,S11,Empresas no financieras,Titulos deuda,25.014734461999996,Gobierno,False
2005T1,2005,1,Bce Final,S14_S15,Hogares,S11,Empresas no financieras,Titulos deuda,2.7415176156528167,Hogares,False
2005T1,2005,1,Bce Final,S2,Resto del mundo,S11,Empresas no financieras,Titulos deuda,3710.4063670920004,Resto del mundo,False
2005T2,2005,2,Bce Final,S11,Empresas no financieras,S11,Empresas no financieras,Prestamos,0.46362000000000003,Empresas NF,False
2005T2,2005,2,Bce Final,S122,Bancos y cooperativas,S11,Empresas no financieras,Prestamos,20414.362055587088,Bancario,True
2005T2,2005,2,Bce Final,S122,Bancos y cooperativas,S14_S15,Hogares,Prestamos,13519.097400000004,Bancario,True
2005T2,2005,2,Bce Final,S124,Fondos del mercado no monetario,S11,Empresas no financieras,Prestamos,9.352669999999998,NBFI,True
2005T2,2005,2,Bce Final,S124,Fondos del mercado no monetario,S14_S15,Hogares,Prestamos,13.3655,NBFI,True
2005T2,2005,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S11,Empresas no financieras,Prestamos,763.563353410072,NBFI,True
2005T2,2005,2,Bce Final,S125_S126,Otros intermediarios financieros y Auxiliares financieros,S14_S15,Hogares,Prestamos,816.51828,NBFI,True
2005T2,2005,2,Bce Final,S128,Compañías de seguro,S11,Empresas no financieras,Prestamos,442.60742,NBFI,True
2005T2,2005,2,Bce Final,S128,Compañías de seguro,S14_S15,Hogares,Prestamos,1138.3897799999997,NBFI,True
