periodo,año,trimestre,sector_codigo,sector_nombre,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos
2024T4,2024,4,S125_S126,Otros intermediarios,24030.811305731117,6932.171598884041,0.2884701440450654
2025T1,2025,1,S125_S126,Otros intermediarios,25470.368582379466,7955.045849580155,0.31232550969378187
2025T2,2025,2,S125_S126,Otros intermediarios,25828.971362349377,7975.933543556069,0.30879795527523424
2025T3,2025,3,S125_S126,Otros intermediarios,26978.74620927505,8215.770408014783,0.30452751007347684
2003T1,2003,1,S128,Compañías de seguros,8515.341171396001,2772.90656,0.3256365780521523
2003T2,2003,2,S128,Compañías de seguros,8742.129055872003,2870.4687200000003,0.3283489298378562
2003T3,2003,3,S128,Compañías de seguros,8876.116511832,2776.9207600000004,0.31285312177891333
2003T4,2003,4,S128,Compañías de seguros,9048.992970340001,2640.5446400000005,0.29180535874598945
2004T1,2004,1,S128,Compañías de seguros,9583.872783565,2706.8874600000004,0.2824419231275621
2004T2,2004,2,S128,Compañías de seguros,9818.200424380002,2653.7802200000006,0.2702919175911589
2004T3,2004,3,S128,Compañías de seguros,10355.024008827,2810.4002199999995,0.27140451027484935
2004T4,2004,4,S128,Compañías de seguros,10603.998037391,2724.19953,0.2569030586759954
2005T1,2005,1,S128,Compañías de seguros,10966.368186273,2882.97851,0.2628927335860133
2005T2,2005,2,S128,Compañías de seguros,11552.813596958,2901.64795,0.25116374687842624
2005T3,2005,3,S128,Compañías de seguros,11825.109484999,2823.3323000000005,0.23875739193633683
2005T4,2005,4,S128,Compañías de seguros,11664.855812204,2891.80921,0.2479078401444562
2006T1,2006,1,S128,Compañías de seguros,11921.311890339,2960.0252100000002,0.24829693554102858
2006T2,2006,2,S128,Compañías de seguros,12106.083133138,2898.8210700000004,0.23945160776775545
2006T3,2006,3,S128,Compañías de seguros,12666.065193403,3083.80435,0.2434697992559023
2006T4,2006,4,S128,Compañías de seguros,13004.492779196002,3230.3518100000006,0.24840275317525426
2007T1,2007,1,S128,Compañías de seguros,13232.010199731001,3288.48643,0.24852508276231927
2007T2,2007,2,S128,Compañías de seguros,13258.187504414,3175.5408500000003,0.239515457821273
2007T3,2007,3,S128,Compañías de seguros,13934.171391861,3386.1899799999997,0.24301337228978578
2007T4,2007,4,S128,Compañías de seguros,14342.410993395999,3641.40002,0.2538903690374437
2008T1,2008,1,S128,Compañías de seguros,14848.744603647001,3908.2636899999998,0.26320499101587963
2008T2,2008,2,S128,Compañías de seguros,15006.855316205,3539.0107999999996,0.23582627575401724
2008T3,2008,3,S128,Compañías de seguros,15913.076230678002,3913.0684599999995,0.2459027031150769
2008T4,2008,4,S128,Compañías de seguros,15737.500442558001,3796.29585,0.2412260996501007
2009T1,2009,1,S128,Compañías de seguros,16041.090916643,3926.5575599999997,0.24478120474500312
2009T2,2009,2,S128,Compañías de seguros,16107.396759538999,3781.96619,0.23479686050200962
2009T3,2009,3,S128,Compañías de seguros,16556.020221943,3848.6596200000004,0.23246284846276452
2009T4,2009,4,S128,Compañías de seguros,16796.560366648002,3901.4060400000003,0.23227410581911792
2010T1,2010,1,S128,Compañías de seguros,17418.855322058,4047.2629300000003,0.23234953475242626
2010T2,2010,2,S128,Compañías de seguros,18164.455183498,4403.8089899999995,0.24244101711350863
2010T3,2010,3,S128,Compañías de seguros,18560.348531984,4832.16234,0.26034868535324146
