periodo,sector_codigo,exposicion_pasivo,ASF_t,IS_pasivo,exposicion_activo,IS_activo,activo_red_nbfi_sector,exp_nbfi_en_bancos,ratio_exp_nbfi_bancos,activo_bancos_red,exp_bancos_en_nbfi,ratio_exp_bancos_nbfi,activo_nbfi_red_total,ratio_exp_nbfi_bancos_agg,sector_nombre,año,trimestre
2012T1,S121,16936.325592732792,386644.50789999997,0.0438033522956781,1789.5235699999994,0.004628343435471308,,,,,,,111384.73627679277,0.3150142626427689,Banco Central,2012,1
2012T2,S121,16954.10401453129,399497.9201,0.042438528867152644,1600.7166699999996,0.0040068210357623825,,,,,,,112974.99203508384,0.3281832549318175,Banco Central,2012,2
2012T3,S121,16453.259764053746,398108.42240000004,0.04132858999783307,1621.8343399999992,0.004073850862593554,,,,,,,114098.5303942816,0.33347218738874773,Banco Central,2012,3
2012T4,S121,18785.100994144126,415275.7475,0.0452352469587551,2728.9008799999992,0.0065712984599467835,,,,,,,116186.92576469522,0.31927593956062766,Banco Central,2012,4
2013T1,S121,17083.570438031427,421005.26149999996,0.04057804498016097,1653.4027199999994,0.00392727329370918,,,,,,,119707.98393565149,0.3180186699970896,Banco Central,2013,1
2013T2,S121,17988.55536778126,430143.6134,0.04181988249364825,1770.7190299999993,0.004116576359238813,,,,,,,123908.27601829136,0.32643597524194484,Banco Central,2013,2
2013T3,S121,17756.23194669543,439241.23610000004,0.040424783666379055,1630.2197399999993,0.003711445114931911,,,,,,,126694.78252439675,0.3234658073915883,Banco Central,2013,3
2013T4,S121,18435.06076128804,455310.31919999997,0.04048900273922903,1587.8323399999997,0.003487362954544694,,,,,,,131642.23871695885,0.3171782823132995,Banco Central,2013,4
2014T1,S121,18946.416634479723,467807.8379,0.04050042581486154,1626.3422399999995,0.003476517724244824,,,,,,,139406.55946445273,0.3266614378786054,Banco Central,2014,1
2014T2,S121,18125.69647254692,477494.5723,0.03796000525249723,1525.9675899999995,0.003195779970125536,,,,,,,146056.76181251652,0.32033402999019256,Banco Central,2014,2
2014T3,S121,19170.130852207207,503869.1059,0.03804585482169211,1553.6244099999997,0.003083388903602156,,,,,,,154141.88249984942,0.3180341278756109,Banco Central,2014,3
2014T4,S121,19428.528875483807,512802.4607,0.03788696499030627,573.4280599999996,0.0011182240803159227,,,,,,,157425.30827464722,0.3244695712529327,Banco Central,2014,4
2015T1,S121,20177.923580921375,523297.8971,0.03855915281284889,611.5387499999996,0.001168624512708747,,,,,,,164222.4350267388,0.31548173805807395,Banco Central,2015,1
2015T2,S121,19015.741873302268,529911.9463,0.035884720105058464,442.55900999999943,0.0008351557519887516,,,,,,,167337.66329706355,0.31216184315259016,Banco Central,2015,2
2015T3,S121,19379.79244528337,551870.4569999999,0.035116560778833954,467.6405999999994,0.0008473738611450974,,,,,,,172599.40353555142,0.32286715818766387,Banco Central,2015,3
2015T4,S121,20433.476500332778,562527.3965,0.03632441126862125,465.4767899999994,0.0008274739913045273,,,,,,,174388.94607267686,0.3234430654833525,Banco Central,2015,4
2016T1,S121,20837.554827374937,564164.5089,0.03693524583459478,474.5218399999995,0.0008411054444477826,,,,,,,179868.9029955596,0.3281431566055983,Banco Central,2016,1
2016T2,S121,19783.993182531223,570401.3791,0.0346843361664853,367.4878299999995,0.0006442618188964325,,,,,,,183836.01623941562,0.3239563394547435,Banco Central,2016,2
2016T3,S121,19439.92245385664,583287.5252,0.03332819855386244,418.9884299999995,0.0007183222885768644,,,,,,,194519.87748182184,0.3219654178774587,Banco Central,2016,3
2016T4,S121,21408.941856237412,594810.4864,0.03599287898539209,367.50528999999955,0.0006178527420124507,,,,,,,192880.4546763859,0.3246619800761735,Banco Central,2016,4
2017T1,S121,20534.853968277956,610995.1492,0.033608865790775995,361.1627899999996,0.0005911058221540453,,,,,,,202612.5639099554,0.3192387310174865,Banco Central,2017,1
2017T2,S121,19344.45777632518,621841.1999,0.031108356569870276,327.84798999999964,0.0005272214032340117,,,,,,,209841.06646464716,0.3178624919287622,Banco Central,2017,2
2017T3,S121,18491.508849765116,628954.9363000001,0.029400371604596173,227.34055999999953,0.0003614576289636786,,,,,,,211208.25365753216,0.3182045271515782,Banco Central,2017,3
2017T4,S121,19936.68732536162,635545.342,0.03136941773913846,534.2188199999995,0.0008405675955689713,,,,,,,209196.36684665093,0.319559623788891,Banco Central,2017,4
2018T1,S121,19613.180521318325,642440.7146000001,0.03052916802374518,235.6555699999995,0.0003668129442056372,,,,,,,216465.84891498223,0.3262078950821255,Banco Central,2018,1
2018T2,S121,18855.430807241493,657140.2011,0.028693162852735255,116.98214999999944,0.0001780170347274154,,,,,,,221265.72632045473,0.32353374389182094,Banco Central,2018,2
