periodo,año,trimestre,sector_codigo,sector_nombre,A_notional_nominal_total,A_notional_real_total
2016T4,2016,4,S122,Bancos y cooperativas,173254.65191100104,8.582841157029762
2017T1,2017,1,S122,Bancos y cooperativas,171471.2994627506,8.515473504781742
2017T2,2017,2,S122,Bancos y cooperativas,175279.5956394719,8.658293055614733
2017T3,2017,3,S122,Bancos y cooperativas,177197.51085818995,8.730241524230722
2017T4,2017,4,S122,Bancos y cooperativas,185746.16715029196,9.049243376303368
2018T1,2018,1,S122,Bancos y cooperativas,187639.72580299218,9.11946128621809
2018T2,2018,2,S122,Bancos y cooperativas,190725.9823833147,9.23309885449981
2018T3,2018,3,S122,Bancos y cooperativas,192619.254521164,9.302303847576622
2018T4,2018,4,S122,Bancos y cooperativas,198530.13177444306,9.516731848852084
2019T1,2019,1,S122,Bancos y cooperativas,198288.80327749523,9.5079772018934
2019T2,2019,2,S122,Bancos y cooperativas,204656.05529289192,9.736167129801448
2019T3,2019,3,S122,Bancos y cooperativas,210613.74702640294,9.948573688487803
2019T4,2019,4,S122,Bancos y cooperativas,224987.81324014108,10.456312885877065
2020T1,2020,1,S122,Bancos y cooperativas,235791.92892943323,10.83411272157199
2020T2,2020,2,S122,Bancos y cooperativas,251814.71273373385,11.392467519985889
2020T3,2020,3,S122,Bancos y cooperativas,253239.58584944333,11.442101091141845
2020T4,2020,4,S122,Bancos y cooperativas,257992.63615604624,11.6056028576028
2021T1,2021,1,S122,Bancos y cooperativas,257360.12317695894,11.584084982855444
2021T2,2021,2,S122,Bancos y cooperativas,272554.86528207373,12.095523187150615
2021T3,2021,3,S122,Bancos y cooperativas,279794.95024264493,12.336150544517306
2021T4,2021,4,S122,Bancos y cooperativas,283246.09630551125,12.447507508110391
2022T1,2022,1,S122,Bancos y cooperativas,288045.7048185462,12.598782339315981
2022T2,2022,2,S122,Bancos y cooperativas,290465.0224908802,12.671902601134176
2022T3,2022,3,S122,Bancos y cooperativas,296071.2884311653,12.835549874804915
2022T4,2022,4,S122,Bancos y cooperativas,308690.03070007457,13.194945775144618
2023T1,2023,1,S122,Bancos y cooperativas,315393.2618467327,13.383368563724225
2023T2,2023,2,S122,Bancos y cooperativas,316288.7609213034,13.408181863183536
2023T3,2023,3,S122,Bancos y cooperativas,314072.92152865016,13.346966653398411
2023T4,2023,4,S122,Bancos y cooperativas,319674.0404697491,13.49921499207837
2024T1,2024,1,S122,Bancos y cooperativas,323117.78343412105,13.592054468201747
2024T2,2024,2,S122,Bancos y cooperativas,306969.6630279967,13.162261521934932
2024T3,2024,3,S122,Bancos y cooperativas,299505.44424422656,12.965370567316906
2024T4,2024,4,S122,Bancos y cooperativas,304656.9843732362,13.099466975128452
2025T1,2025,1,S122,Bancos y cooperativas,305589.03397617844,13.123430747610772
2025T2,2025,2,S122,Bancos y cooperativas,310432.01470169425,13.246765152890202
2025T3,2025,3,S122,Bancos y cooperativas,311370.84513700136,13.27054164980255
2003T1,2003,1,S123,FMM,1717.4375302070005,0.10232831634494392
2003T2,2003,2,S123,FMM,2237.2811855680006,0.1329800716775064
2003T3,2003,3,S123,FMM,2357.3343720430003,0.14006451484649643
2003T4,2003,4,S123,FMM,2662.6291180400003,0.15810793955081087
2004T1,2004,1,S123,FMM,3076.2658690110006,0.18269869974983802
2004T2,2004,2,S123,FMM,3005.652232337,0.17854860605729117
2004T3,2004,3,S123,FMM,3154.2813881700004,0.18719447063312777
2004T4,2004,4,S123,FMM,3118.9896322490004,0.1851564932685651
2005T1,2005,1,S123,FMM,3491.651019594,0.20682438990687313
2005T2,2005,2,S123,FMM,3279.851209367,0.1947141044328248
2005T3,2005,3,S123,FMM,3274.3637415950006,0.19440438527443055
2005T4,2005,4,S123,FMM,3620.927012941,0.21368488233370403
2006T1,2006,1,S123,FMM,4300.451756529001,0.25161397585233525
2006T2,2006,2,S123,FMM,4588.689616662001,0.26749362481236033
2006T3,2006,3,S123,FMM,4835.520574162001,0.28090751239547335
2006T4,2006,4,S123,FMM,5108.842575113,0.2958135080691559
2007T1,2007,1,S123,FMM,5495.477902113,0.31685721123745153
2007T2,2007,2,S123,FMM,6022.019466634,0.34512915916968157
2007T3,2007,3,S123,FMM,6282.467827185,0.3587090734168193
2007T4,2007,4,S123,FMM,6208.501735584,0.35493965114680087
2008T1,2008,1,S123,FMM,6536.779580971,0.3715004960736089
2008T2,2008,2,S123,FMM,7839.5757740320005,0.43582750184523156
2008T3,2008,3,S123,FMM,6935.476538326,0.39275123970606285
2008T4,2008,4,S123,FMM,7268.219626014999,0.4082618795822641
2009T1,2009,1,S123,FMM,9563.813033012,0.5177856676294136
2009T2,2009,2,S123,FMM,10635.755490630001,0.568993876364608
2009T3,2009,3,S123,FMM,10852.358809039002,0.5793902784010908
2009T4,2009,4,S123,FMM,10661.368687815999,0.5702707054854748
2010T1,2010,1,S123,FMM,11905.656449937,0.6295266798170465
2010T2,2010,2,S123,FMM,11082.350082361001,0.5906954301907821
2010T3,2010,3,S123,FMM,8751.873493296,0.4814884160794821
2010T4,2010,4,S123,FMM,9280.794186878002,0.5061403450014627
2011T1,2011,1,S123,FMM,9313.936208178,0.5076762436930161
2011T2,2011,2,S123,FMM,9144.154789391001,0.49992008691072987
2011T3,2011,3,S123,FMM,9807.459692678,0.5300529286164459
2011T4,2011,4,S123,FMM,10249.748657666001,0.5498918256210701
2012T1,2012,1,S123,FMM,10104.321878130002,0.5434380250575538
2012T2,2012,2,S123,FMM,11153.603943877,0.5898102958724876
2012T3,2012,3,S123,FMM,11551.643804117,0.6074296566476619
2012T4,2012,4,S123,FMM,11091.953225618003,0.5873037597966827
2013T1,2013,1,S123,FMM,12063.995876437999,0.629807870131987
2013T2,2013,2,S123,FMM,12871.305979538998,0.6651346001421347
2013T3,2013,3,S123,FMM,12735.788248944998,0.6592657527761225
2013T4,2013,4,S123,FMM,12474.948762811,0.6480755164038358
2014T1,2014,1,S123,FMM,13134.95488926,0.6760336205759935
2014T2,2014,2,S123,FMM,12529.100330286,0.6508144899385081
2014T3,2014,3,S123,FMM,13423.019897264001,0.6878021938123876
2014T4,2014,4,S123,FMM,13923.446887363001,0.708122369151709
2015T1,2015,1,S123,FMM,13812.955823053,0.7036350178327271
2015T2,2015,2,S123,FMM,14115.081224885998,0.7157282766712715
2015T3,2015,3,S123,FMM,14464.477655652,0.7295128644753769
2015T4,2015,4,S123,FMM,14304.221161533002,0.7232599505358261
2016T1,2016,1,S123,FMM,15382.954286697,0.7650517929181244
2016T2,2016,2,S123,FMM,15172.064536549,0.7569568603408665
2016T3,2016,3,S123,FMM,14998.334549889001,0.750332089168328
2016T4,2016,4,S123,FMM,15185.722457380001,0.7574441299202567
2017T1,2017,1,S123,FMM,16712.870978377,0.8151334613782836
2017T2,2017,2,S123,FMM,16785.728822698,0.8178657920893744
2017T3,2017,3,S123,FMM,17137.758825905,0.8310718083879235
2017T4,2017,4,S123,FMM,15698.733590937001,0.7773731100839366
2018T1,2018,1,S123,FMM,18064.780023126998,0.8651120533654941
2018T2,2018,2,S123,FMM,18154.18785452,0.8684040960976577
2018T3,2018,3,S123,FMM,18044.515756881003,0.8643952393643365
2018T4,2018,4,S123,FMM,17254.671377507,0.8357421741202785
2019T1,2019,1,S123,FMM,18615.319891375,0.8851022684499106
2019T2,2019,2,S123,FMM,19641.025282942,0.9218615546836895
2019T3,2019,3,S123,FMM,20039.100083447,0.9360539134456282
2019T4,2019,4,S123,FMM,22944.99292443,1.0386995863429567
2020T1,2020,1,S123,FMM,26689.642424091,1.1696430162720832
2020T2,2020,2,S123,FMM,28923.58806211,1.2474905539795393
2020T3,2020,3,S123,FMM,28366.638146804,1.2280899400253076
2020T4,2020,4,S123,FMM,26481.869676356,1.1632551593245724
2021T1,2021,1,S123,FMM,26465.546073778998,1.1626998359600078
2021T2,2021,2,S123,FMM,25985.4660894,1.1465408749568988
